intervention,mean_baseline,mean_patched,mean_delta,sem_delta,mean_frac,n
necessity_resid_Wwin_L1_Cswap,2.707782030105591,-2.6985435485839844,-5.406325578689575,0.5397209997082629,-2.097656917680561,8
necessity_resid_Wwin_L2_Cswap,2.707782030105591,-2.6957011222839355,-5.403483152389526,0.5399933819948802,-2.0963110472135624,8
necessity_resid_Wwin_L0_Cswap,2.707782030105591,-2.6946356296539307,-5.4024176597595215,0.5382140522457493,-2.0976880251548975,8
necessity_resid_Wwin_L3_Cswap,2.707782030105591,-2.68520450592041,-5.392986536026001,0.5379798394776351,-2.092818199884234,8
necessity_resid_Wwin_L4_Cswap,2.707782030105591,-2.6758440732955933,-5.383626103401184,0.5380560278949765,-2.088996441777384,8
necessity_resid_Wwin_L5_Cswap,2.707782030105591,-2.2296972274780273,-4.937479257583618,0.5267041361100911,-1.8998209704007152,8
necessity_resid_Wwin_L5-11_Cswap,2.707782030105591,-2.2296972274780273,-4.937479257583618,0.5267041361100911,-1.8998209704007152,8
necessity_resid_W_only_L5-11_Cswap,2.707782030105591,-2.134807586669922,-4.842589616775513,0.5204142613792311,-1.86340421694798,8
necessity_resid_Wwin_L6_Cswap,2.707782030105591,-1.6070363521575928,-4.314818382263184,0.4610080806316573,-1.6611082394154,8
necessity_resid_Wwin_L7_Cswap,2.707782030105591,0.03775429725646973,-2.670027732849121,0.2906963519363826,-1.025618201352786,8
necessity_resid_Wwin_L8_Cswap,2.707782030105591,0.393749475479126,-2.314032554626465,0.27226029007546976,-0.8860826753495026,8
ablate_writes_ops2_L5-11,2.707782030105591,1.8356738090515137,-0.8721082210540771,0.05640441348612332,-0.35981317410316593,8
ablate_writes_randpos_L5-11,2.707782030105591,1.863564372062683,-0.8442176580429077,0.059455209204759864,-0.3498648359980935,8
ablate_writes_Wwin_L5-11,2.707782030105591,2.404466986656189,-0.30331504344940186,0.13871523822042528,-0.10939394713233659,8
ablate_writes_W_L5-11,2.707782030105591,2.4894018173217773,-0.21838021278381348,0.11796199794441295,-0.08715020783247492,8
ablate_writes_Wwin_L9-11,2.707782030105591,2.5472781658172607,-0.16050386428833008,0.024909688832925887,-0.06207780785309967,8
necessity_resid_Wwin_L9-11_Cswap,2.707782030105591,2.5738186836242676,-0.13396334648132324,0.13985362715096916,-0.02117580577693014,8
necessity_resid_Wwin_L9_Cswap,2.707782030105591,2.5738186836242676,-0.13396334648132324,0.13985362715096916,-0.02117580577693014,8
necessity_resid_Wwin_L10_Cswap,2.707782030105591,2.6641396284103394,-0.043642401695251465,0.014928847060064749,-0.017787377407814997,8
ablate_writes_revision_L5-11,2.707782030105591,2.685019612312317,-0.022762417793273926,0.028744920231828636,-0.003894653527776709,8
necessity_resid_Wwin_L11_Cswap,2.707782030105591,2.707782030105591,0.0,0.0,0.0,8
sufficiency_resid_Wwin_L5-11_Wpatch,-2.6810882091522217,2.243082284927368,4.92417049407959,0.5302674757167849,-1.809861530574392,8
