item,intervention,baseline,patched,delta,frac_of_baseline
ops_12+15,necessity_resid_tstar_L0-4_Cswap,4.194221496582031,4.1805267333984375,-0.01369476318359375,-0.0032651502060046023
ops_12+15,necessity_resid_tstar_L5-8_Cswap,4.194221496582031,-0.6065139770507812,-4.8007354736328125,-1.1446070450845391
ops_12+15,necessity_resid_tstar_L9-11_Cswap,4.194221496582031,-3.5222387313842773,-7.716460227966309,-1.8397836724299448
ops_12+15,necessity_resid_tstar_L5-11_Cswap,4.194221496582031,-3.5222387313842773,-7.716460227966309,-1.8397836724299448
ops_12+15,necessity_resid_tstar_L0-11_Cswap,4.194221496582031,-3.5222387313842773,-7.716460227966309,-1.8397836724299448
ops_12+15,sufficiency_resid_tstar_L5-11_Wpatch,-3.5222387313842773,4.194221496582031,7.716460227966309,-2.1907828561449203
ops_12+15,ablate_writes_tstar_L5-11,4.194221496582031,0.05601024627685547,-4.138211250305176,-0.9866458539868485
ops_12+15,ablate_writes_tstar_L9-11,4.194221496582031,6.775260925292969,2.5810394287109375,0.6153798579341331
ops_12+15,ref_E4_necessity_Wwin_L5-11_Cswap,4.194221496582031,-2.885974884033203,-7.080196380615234,-1.6880835660169715
ops_12+15,necessity_resid_tstar_L0_Cswap,4.194221496582031,4.197207450866699,0.0029859542846679688,0.0007119209815459895
ops_12+15,necessity_resid_tstar_L1_Cswap,4.194221496582031,4.189902305603027,-0.004319190979003906,-0.0010297956325205323
ops_12+15,necessity_resid_tstar_L2_Cswap,4.194221496582031,4.180901527404785,-0.013319969177246094,-0.0031757905938207716
ops_12+15,necessity_resid_tstar_L3_Cswap,4.194221496582031,4.176614761352539,-0.017606735229492188,-0.004197855369307588
ops_12+15,necessity_resid_tstar_L4_Cswap,4.194221496582031,4.1805267333984375,-0.01369476318359375,-0.0032651502060046023
ops_12+15,necessity_resid_tstar_L5_Cswap,4.194221496582031,3.567030906677246,-0.6271905899047852,-0.14953683071242121
ops_12+15,necessity_resid_tstar_L6_Cswap,4.194221496582031,2.7082386016845703,-1.485982894897461,-0.35429289943519265
ops_12+15,necessity_resid_tstar_L7_Cswap,4.194221496582031,-0.011667251586914062,-4.205888748168945,-1.0027817442632494
