intervention,mean_baseline,mean_patched,mean_delta,sem_delta,n
necessity_resid_tstar_L0-11_Cswap,2.707782030105591,-2.6810882091522217,-5.3888702392578125,0.5414622371580491,8
necessity_resid_tstar_L9-11_Cswap,2.707782030105591,-2.6810882091522217,-5.3888702392578125,0.5414622371580491,8
necessity_resid_tstar_L11_Cswap,2.707782030105591,-2.6810882091522217,-5.3888702392578125,0.5414622371580491,8
necessity_resid_tstar_L5-11_Cswap,2.707782030105591,-2.6810882091522217,-5.3888702392578125,0.5414622371580491,8
necessity_resid_tstar_L10_Cswap,2.707782030105591,-2.597421169281006,-5.305203199386597,0.5335496775988388,8
necessity_resid_tstar_L9_Cswap,2.707782030105591,-2.5753896236419678,-5.283171653747559,0.47875342246921754,8
ref_E4_necessity_Wwin_L5-11_Cswap,2.707782030105591,-2.2296972274780273,-4.937479257583618,0.5267041361100911,8
necessity_resid_tstar_L8_Cswap,2.707782030105591,-0.34372520446777344,-3.0515072345733643,0.3291633890917842,8
necessity_resid_tstar_L5-8_Cswap,2.707782030105591,-0.34372520446777344,-3.0515072345733643,0.3291633890917842,8
necessity_resid_tstar_L7_Cswap,2.707782030105591,-0.019820690155029297,-2.72760272026062,0.2873571569265144,8
ablate_writes_tstar_L5-11,2.707782030105591,0.13082849979400635,-2.5769535303115845,0.40786363313592794,8
necessity_resid_tstar_L6_Cswap,2.707782030105591,1.652869701385498,-1.0549123287200928,0.10273791861252828,8
necessity_resid_tstar_L5_Cswap,2.707782030105591,2.2343814373016357,-0.4734005928039551,0.0461091285473513,8
necessity_resid_tstar_L4_Cswap,2.707782030105591,2.697634696960449,-0.010147333145141602,0.007586309157465043,8
necessity_resid_tstar_L0-4_Cswap,2.707782030105591,2.697634696960449,-0.010147333145141602,0.007586309157465043,8
necessity_resid_tstar_L3_Cswap,2.707782030105591,2.69838285446167,-0.009399175643920898,0.004979960505871222,8
necessity_resid_tstar_L2_Cswap,2.707782030105591,2.7025893926620483,-0.0051926374435424805,0.0017840174846330652,8
necessity_resid_tstar_L1_Cswap,2.707782030105591,2.703858971595764,-0.00392305850982666,0.0013754714407086192,8
necessity_resid_tstar_L0_Cswap,2.707782030105591,2.7066069841384888,-0.0011750459671020508,0.0019506119674904934,8
ablate_writes_tstar_L9-11,2.707782030105591,4.930145740509033,2.2223637104034424,0.3756207322972239,8
sufficiency_resid_tstar_L5-11_Wpatch,-2.6810882091522217,2.707782030105591,5.3888702392578125,0.5414622371580491,8
