intervention,mean_baseline,mean_ablated,mean_delta,sem_delta,n
path_block_Wwin_L5-11,2.707782030105591,0.41241955757141113,-2.2953624725341797,0.2879802374443623,8
path_block_ops2_L5-11,2.707782030105591,1.910973072052002,-0.7968089580535889,0.08390455405647822,8
path_block_Wwin_L5,2.707782030105591,1.9388010501861572,-0.7689809799194336,0.08144707648037712,8
path_block_Wwin_L6,2.707782030105591,2.0474846363067627,-0.6602973937988281,0.048466747604455004,8
path_block_W_only_L9-11,2.707782030105591,2.0566688776016235,-0.6511131525039673,0.11218635411911596,8
path_block_Wwin_L9-11,2.707782030105591,2.089985966682434,-0.6177960634231567,0.1260721628071895,8
path_block_Wwin_L9H9,2.707782030105591,2.173375129699707,-0.5344069004058838,0.05213065377602041,8
path_block_Wwin_L0,2.707782030105591,2.308872699737549,-0.398909330368042,0.03072103569408823,8
path_block_Wwin_L9,2.707782030105591,2.408229351043701,-0.29955267906188965,0.04287400491039557,8
path_block_Wwin_L3,2.707782030105591,2.5148048400878906,-0.1929771900177002,0.023067090845570546,8
path_block_Wwin_L4,2.707782030105591,2.587658405303955,-0.12012362480163574,0.006240209986401,8
path_block_ops2_L9-11,2.707782030105591,2.634796380996704,-0.07298564910888672,0.01580421402782589,8
path_block_randpos_L9-11,2.707782030105591,2.6510367393493652,-0.056745290756225586,0.016666695421770964,8
path_block_revision_L9-11,2.707782030105591,2.677197575569153,-0.03058445453643799,0.01782923819080661,8
path_block_Wwin_L11H0,2.707782030105591,2.693284273147583,-0.014497756958007812,0.005422004542842549,8
path_block_Wwin_L1,2.707782030105591,2.710073471069336,0.002291440963745117,0.009707588590153693,8
path_block_Wwin_L2,2.707782030105591,2.7240880727767944,0.016306042671203613,0.00498223690930285,8
path_block_Wwin_L11,2.707782030105591,2.74104642868042,0.0332643985748291,0.023843294167002902,8
path_block_Wwin_L10,2.707782030105591,2.8933804035186768,0.18559837341308594,0.08341748077773399,8
path_block_Wwin_L7,2.707782030105591,2.894388437271118,0.18660640716552734,0.04818299212907921,8
path_block_Wwin_L8,2.707782030105591,3.07195508480072,0.3641730546951294,0.05970861434211532,8
path_block_Wwin_L10H7,2.707782030105591,3.102766275405884,0.39498424530029297,0.06929785971795129,8
