item,mode,prompt,t_star,score_orig_WC,p_C_pair_orig,top1_orig,top1_is_orig_W,score_visible_W2C2,p_C_pair_visible,top1_visible_token,top1_is_visible_W2,corrupt_pair
ops_12+15,baseline,"12 + 15 = 25. Wait, let me recompute. 12 + 15 =",17,4.194223403930664,0.43123091594518964, 25,True,-2.854158401489258,0.5603576701825806, 25,False,8+7
ops_12+15,corrupt_ops2,"12 + 15 = 25. Wait, let me recompute. 8 + 7 =",17,1.5967292785644531,0.47689655834762534, 25,True,-1.2008056640625,0.5177997205731575, 25,False,8+7
ops_12+15,filler_ops2,"12 + 15 = 25. Wait, let me recompute. 99 + 99 =",17,1.5859107971191406,0.47294963184322514, 100,False,-0.7988004684448242,0.5145304097522709, 100,False,8+7
ops_8+7,baseline,"8 + 7 = 14. Wait, let me recompute. 8 + 7 =",17,2.4444217681884766,0.4630380422515819, 14,True,-0.2713327407836914,0.5063257411751272, 14,False,12+15
ops_8+7,corrupt_ops2,"8 + 7 = 14. Wait, let me recompute. 12 + 15 =",17,-0.15053558349609375,0.5021591330639205, 16,False,0.6025171279907227,0.4901012538239476, 16,False,12+15
ops_8+7,filler_ops2,"8 + 7 = 14. Wait, let me recompute. 99 + 99 =",17,0.7784757614135742,0.4870396949164846, 99,False,0.05256938934326172,0.4990117030438284, 99,False,12+15
ops_11+12,baseline,"11 + 12 = 22. Wait, let me recompute. 11 + 12 =",17,1.8689594268798828,0.4723693930725828, 22,True,-0.6729288101196289,0.5129063665301495, 22,False,9+6
ops_11+12,corrupt_ops2,"11 + 12 = 22. Wait, let me recompute. 9 + 6 =",17,0.07203292846679688,0.49900854542172496, 22,True,-0.15178680419921875,0.5021971572903987, 22,False,9+6
ops_11+12,filler_ops2,"11 + 12 = 22. Wait, let me recompute. 99 + 99 =",17,0.34758949279785156,0.4942269954621739, 22,True,-0.020833969116210938,0.5003755662375339, 22,False,9+6
ops_9+6,baseline,"9 + 6 = 14. Wait, let me recompute. 9 + 6 =",17,2.768474578857422,0.4578710250426666, 14,True,0.631927490234375,0.48618919212743267, 14,False,11+12
ops_9+6,corrupt_ops2,"9 + 6 = 14. Wait, let me recompute. 11 + 12 =",17,0.1754932403564453,0.4975173143638727, 14,True,0.04796028137207031,0.49925526381431573, 14,False,11+12
ops_9+6,filler_ops2,"9 + 6 = 14. Wait, let me recompute. 99 + 99 =",17,1.039658546447754,0.48328557956942103, 14,True,0.0010166168212890625,0.49998103321507503, 14,False,11+12
ops_13+14,baseline,"13 + 14 = 26. Wait, let me recompute. 13 + 14 =",17,1.2628097534179688,0.4807046033181941, 26,True,-0.5970706939697266,0.5129013515226659, 26,False,4+5
ops_13+14,corrupt_ops2,"13 + 14 = 26. Wait, let me recompute. 4 + 5 =",17,0.11271286010742188,0.49823345596565993, 6,False,-0.05264759063720703,0.5008332408851779, 6,False,4+5
ops_13+14,filler_ops2,"13 + 14 = 26. Wait, let me recompute. 99 + 99 =",17,0.3404350280761719,0.4943797468099334, 99,False,-0.8526134490966797,0.5150929124980789, 99,False,4+5
ops_4+5,baseline,"4 + 5 = 8. Wait, let me recompute. 4 + 5 =",17,2.1139097213745117,0.467387572721566, 8,True,0.6834135055541992,0.48019380914300097, 8,False,13+14
ops_4+5,corrupt_ops2,"4 + 5 = 8. Wait, let me recompute. 13 + 14 =",17,0.1426410675048828,0.4978130507399717, 16,False,0.35594940185546875,0.4933529243143774, 16,False,13+14
ops_4+5,filler_ops2,"4 + 5 = 8. Wait, let me recompute. 99 + 99 =",17,-0.19706249237060547,0.5032451070237506, 99,False,0.045342445373535156,0.49906411190705946, 99,False,13+14
ops_16+10,baseline,"16 + 10 = 24. Wait, let me recompute. 16 + 10 =",17,4.489049911499023,0.4259439790227653, 24,True,0.19706344604492188,0.49560108249867096, 24,False,3+8
ops_16+10,corrupt_ops2,"16 + 10 = 24. Wait, let me recompute. 3 + 8 =",17,1.3622989654541016,0.48113711676090315, 24,True,0.15115928649902344,0.49780850896149526, 24,False,3+8
ops_16+10,filler_ops2,"16 + 10 = 24. Wait, let me recompute. 99 + 99 =",17,1.1291885375976562,0.48075588836919986, 99,False,0.45250797271728516,0.4920025534441545, 99,False,3+8
ops_3+8,baseline,"3 + 8 = 10. Wait, let me recompute. 3 + 8 =",17,2.520411491394043,0.45925083380398873, 10,True,0.36194515228271484,0.4905103783071729, 10,False,16+10
ops_3+8,corrupt_ops2,"3 + 8 = 10. Wait, let me recompute. 16 + 10 =",17,0.06560325622558594,0.4990675675345965, 10,True,0.6992378234863281,0.4879758255718356, 10,False,16+10
ops_3+8,filler_ops2,"3 + 8 = 10. Wait, let me recompute. 99 + 99 =",17,1.5333318710327148,0.4745921355191457, 99,False,-0.044452667236328125,0.5009254350906911, 99,False,16+10
