item,variant,prompt,t_star,impulse_pos,impulse_token,score_W_minus_C,abs_score,score_C_minus_W,top1,top1_is_bank_W,top1_is_bank_C,top1_matches_impulse
ops_12+15,W,"12 + 15 = 25. Wait, let me recompute. 12 + 15 =",17,5, 25,4.194221496582031,4.194221496582031,-4.194221496582031, 25,True,False,True
ops_12+15,C,"12 + 15 = 27. Wait, let me recompute. 12 + 15 =",17,5, 27,-3.5222387313842773,3.5222387313842773,3.5222387313842773, 27,False,True,True
ops_8+7,W,"8 + 7 = 14. Wait, let me recompute. 8 + 7 =",17,5, 14,2.4444122314453125,2.4444122314453125,-2.4444122314453125, 14,True,False,True
ops_8+7,C,"8 + 7 = 15. Wait, let me recompute. 8 + 7 =",17,5, 15,-2.686187744140625,2.686187744140625,2.686187744140625, 15,False,True,True
ops_11+12,W,"11 + 12 = 22. Wait, let me recompute. 11 + 12 =",17,5, 22,1.8689661026000977,1.8689661026000977,-1.8689661026000977, 22,True,False,True
ops_11+12,C,"11 + 12 = 23. Wait, let me recompute. 11 + 12 =",17,5, 23,-2.582688331604004,2.582688331604004,2.582688331604004, 23,False,True,True
ops_9+6,W,"9 + 6 = 14. Wait, let me recompute. 9 + 6 =",17,5, 14,2.7684707641601562,2.7684707641601562,-2.7684707641601562, 14,True,False,True
ops_9+6,C,"9 + 6 = 15. Wait, let me recompute. 9 + 6 =",17,5, 15,-2.744868278503418,2.744868278503418,2.744868278503418, 15,False,True,True
ops_13+14,W,"13 + 14 = 26. Wait, let me recompute. 13 + 14 =",17,5, 26,1.2628145217895508,1.2628145217895508,-1.2628145217895508, 26,True,False,True
ops_13+14,C,"13 + 14 = 27. Wait, let me recompute. 13 + 14 =",17,5, 27,-2.1687183380126953,2.1687183380126953,2.1687183380126953, 27,False,True,True
ops_4+5,W,"4 + 5 = 8. Wait, let me recompute. 4 + 5 =",17,5, 8,2.1138954162597656,2.1138954162597656,-2.1138954162597656, 8,True,False,True
ops_4+5,C,"4 + 5 = 9. Wait, let me recompute. 4 + 5 =",17,5, 9,-1.8963546752929688,1.8963546752929688,1.8963546752929688, 9,False,True,True
ops_16+10,W,"16 + 10 = 24. Wait, let me recompute. 16 + 10 =",17,5, 24,4.489053726196289,4.489053726196289,-4.489053726196289, 24,True,False,True
ops_16+10,C,"16 + 10 = 26. Wait, let me recompute. 16 + 10 =",17,5, 26,-2.9754209518432617,2.9754209518432617,2.9754209518432617, 26,False,True,True
ops_3+8,W,"3 + 8 = 10. Wait, let me recompute. 3 + 8 =",17,5, 10,2.5204219818115234,2.5204219818115234,-2.5204219818115234, 10,True,False,True
ops_3+8,C,"3 + 8 = 11. Wait, let me recompute. 3 + 8 =",17,5, 11,-2.8722286224365234,2.8722286224365234,2.8722286224365234, 11,False,True,True
