item,prompt_variant,intervention,baseline,patched,delta,abs_delta
ops_12+15,forced_W,impulse_window_Cswap,4.194221496582031,-2.885974884033203,-7.080196380615234,7.080196380615234
ops_12+15,forced_C,impulse_window_Wswap,-3.5222387313842773,3.6153793334960938,7.137618064880371,7.137618064880371
ops_8+7,forced_W,impulse_window_Cswap,2.4444122314453125,-2.3284053802490234,-4.772817611694336,4.772817611694336
ops_8+7,forced_C,impulse_window_Wswap,-2.686187744140625,1.9236822128295898,4.609869956970215,4.609869956970215
ops_11+12,forced_W,impulse_window_Cswap,1.8689661026000977,-2.2351207733154297,-4.104086875915527,4.104086875915527
ops_11+12,forced_C,impulse_window_Wswap,-2.582688331604004,1.5579414367675781,4.140629768371582,4.140629768371582
ops_9+6,forced_W,impulse_window_Cswap,2.7684707641601562,-2.3477487564086914,-5.116219520568848,5.116219520568848
ops_9+6,forced_C,impulse_window_Wswap,-2.744868278503418,2.234206199645996,4.979074478149414,4.979074478149414
ops_13+14,forced_W,impulse_window_Cswap,1.2628145217895508,-1.6407451629638672,-2.903559684753418,2.903559684753418
ops_13+14,forced_C,impulse_window_Wswap,-2.1687183380126953,0.9883508682250977,3.157069206237793,3.157069206237793
ops_4+5,forced_W,impulse_window_Cswap,2.1138954162597656,-1.4994640350341797,-3.6133594512939453,3.6133594512939453
ops_4+5,forced_C,impulse_window_Wswap,-1.8963546752929688,1.4383955001831055,3.334750175476074,3.334750175476074
ops_16+10,forced_W,impulse_window_Cswap,4.489053726196289,-2.5218048095703125,-7.010858535766602,7.010858535766602
ops_16+10,forced_C,impulse_window_Wswap,-2.9754209518432617,4.064733505249023,7.040154457092285,7.040154457092285
ops_3+8,forced_W,impulse_window_Cswap,2.5204219818115234,-2.3783140182495117,-4.898736000061035,4.898736000061035
ops_3+8,forced_C,impulse_window_Wswap,-2.8722286224365234,2.121969223022461,4.994197845458984,4.994197845458984
