item,variant,prompt,t_star,answer_pos,answer_prefix,impulse_pos,impulse_token,score_W_minus_C_at_tstar,score_W_minus_C,abs_score,top1_at_tstar,top1,top1_is_bank_W,top1_is_bank_C,top1_is_bank_impulse,top1_matches_impulse,top1_at_tstar_matches_impulse
ops_4+5,W,"4 + 5 =8. Wait, let me recompute. 4 + 5 =",19,20, ,5,8,-2.6000118255615234,-3.1560497283935547,3.1560497283935547, ,9,False,True,False,False,False
ops_4+5,C,"4 + 5 =9. Wait, let me recompute. 4 + 5 =",19,20, ,5,9,-6.530011177062988,-5.941755294799805,5.941755294799805, ,9,False,True,True,True,False
ops_1+8,W,"1 + 8 =7. Wait, let me recompute. 1 + 8 =",19,20, ,5,7,-3.578974723815918,-4.876014709472656,4.876014709472656, ,9,False,True,False,False,False
ops_1+8,C,"1 + 8 =9. Wait, let me recompute. 1 + 8 =",19,20, ,5,9,-7.046988487243652,-6.811156272888184,6.811156272888184, ,9,False,True,True,True,False
ops_2+7,W,"2 + 7 =8. Wait, let me recompute. 2 + 7 =",19,20, ,5,8,-2.1341114044189453,-2.6954498291015625,2.6954498291015625, ,9,False,True,False,False,False
ops_2+7,C,"2 + 7 =9. Wait, let me recompute. 2 + 7 =",19,20, ,5,9,-5.702089309692383,-5.05864143371582,5.05864143371582, ,9,False,True,True,True,False
ops_6+3,W,"6 + 3 =8. Wait, let me recompute. 6 + 3 =",19,20, ,5,8,-2.1004714965820312,-2.837545394897461,2.837545394897461, ,9,False,True,False,False,False
ops_6+3,C,"6 + 3 =9. Wait, let me recompute. 6 + 3 =",19,20, ,5,9,-5.560425758361816,-5.3375701904296875,5.3375701904296875, ,9,False,True,True,True,False
ops_1+1,W,"1 + 1 =3. Wait, let me recompute. 1 + 1 =",19,20, ,5,3,-1.7159366607666016,-2.651508331298828,2.651508331298828, ,2,False,True,False,False,False
ops_1+1,C,"1 + 1 =2. Wait, let me recompute. 1 + 1 =",19,20, ,5,2,-4.386063575744629,-4.443792343139648,4.443792343139648, ,2,False,True,True,True,False
ops_2+3,W,"2 + 3 =4. Wait, let me recompute. 2 + 3 =",19,20, ,5,4,-2.501941680908203,-3.3928146362304688,3.3928146362304688, ,5,False,True,False,False,False
ops_2+3,C,"2 + 3 =5. Wait, let me recompute. 2 + 3 =",19,20, ,5,5,-6.948907852172852,-5.742166519165039,5.742166519165039, ,5,False,True,True,True,False
ops_5+4,W,"5 + 4 =8. Wait, let me recompute. 5 + 4 =",19,20, ,5,8,-2.813042640686035,-3.5358333587646484,3.5358333587646484, ,9,False,True,False,False,False
ops_5+4,C,"5 + 4 =9. Wait, let me recompute. 5 + 4 =",19,20, ,5,9,-6.229270935058594,-5.881610870361328,5.881610870361328, ,9,False,True,True,True,False
ops_1+6,W,"1 + 6 =6. Wait, let me recompute. 1 + 6 =",19,20, ,5,6,-3.7632789611816406,-3.8928890228271484,3.8928890228271484, ,7,False,True,False,False,False
ops_1+6,C,"1 + 6 =7. Wait, let me recompute. 1 + 6 =",19,20, ,5,7,-6.470898628234863,-4.766300201416016,4.766300201416016, ,7,False,True,True,True,False
