item,intervention,layer_band,layers,baseline,patched,delta,frac_of_baseline,answer_pos,answer_prefix,W_window,rand_pos
ops_4+5,necessity_resid_Wwin_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-3.1560497283935547,-5.917974472045898,-2.7619247436523438,0.8751207938216415,20, ,3|4|5|6|7,14|15|16|17|18
ops_4+5,control_resid_randpos_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-3.1560497283935547,-3.2551097869873047,-0.09906005859375,0.03138735670181347,20, ,3|4|5|6|7,14|15|16|17|18
ops_1+8,necessity_resid_Wwin_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-4.876014709472656,-6.889978408813477,-2.0139636993408203,0.4130347874932132,20, ,3|4|5|6|7,14|15|16|17|18
ops_1+8,control_resid_randpos_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-4.876014709472656,-4.930871963500977,-0.05485725402832031,0.011250428330691635,20, ,3|4|5|6|7,14|15|16|17|18
ops_2+7,necessity_resid_Wwin_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-2.6954498291015625,-5.010843276977539,-2.3153934478759766,0.8590007585664227,20, ,3|4|5|6|7,14|15|16|17|18
ops_2+7,control_resid_randpos_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-2.6954498291015625,-2.801572799682617,-0.10612297058105469,0.03937115409654173,20, ,3|4|5|6|7,14|15|16|17|18
ops_6+3,necessity_resid_Wwin_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-2.837545394897461,-5.326358795166016,-2.4888134002685547,0.8771008226842806,20, ,3|4|5|6|7,14|15|16|17|18
ops_6+3,control_resid_randpos_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-2.837545394897461,-2.918415069580078,-0.08086967468261719,0.028499869932667468,20, ,3|4|5|6|7,14|15|16|17|18
ops_1+1,necessity_resid_Wwin_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-2.651508331298828,-4.411649703979492,-1.760141372680664,0.6638264537597993,20, ,3|4|5|6|7,14|15|16|17|18
ops_1+1,control_resid_randpos_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-2.651508331298828,-2.594003677368164,0.05750465393066406,-0.02168752526698481,20, ,3|4|5|6|7,14|15|16|17|18
ops_2+3,necessity_resid_Wwin_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-3.3928146362304688,-5.67950439453125,-2.2866897583007812,0.6739801620407329,20, ,3|4|5|6|7,14|15|16|17|18
ops_2+3,control_resid_randpos_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-3.3928146362304688,-3.4544677734375,-0.06165313720703125,0.018171678625959347,20, ,3|4|5|6|7,14|15|16|17|18
ops_5+4,necessity_resid_Wwin_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-3.5358333587646484,-5.844827651977539,-2.3089942932128906,0.6530268988750104,20, ,3|4|5|6|7,14|15|16|17|18
ops_5+4,control_resid_randpos_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-3.5358333587646484,-3.5973548889160156,-0.06152153015136719,0.017399442764706993,20, ,3|4|5|6|7,14|15|16|17|18
ops_1+6,necessity_resid_Wwin_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-3.8928890228271484,-4.750202178955078,-0.8573131561279297,0.22022542926366798,20, ,3|4|5|6|7,14|15|16|17|18
ops_1+6,control_resid_randpos_L8-23_Cswap,L8-23,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,-3.8928890228271484,-3.6746692657470703,0.21821975708007812,-0.05605599229787432,20, ,3|4|5|6|7,14|15|16|17|18
