bank,item,a,b,correct_sum,W_str,C_str,W_single_token,C_single_token,W_token_strs,C_token_strs,C_is_correct_sum,pass_audit,prompt_W,n_tokens,eq_positions,impulse_pos,impulse_token,t_star,t_star_token,W_window,revision,ops2
gpt2,ops_12+15,12,15,27, 25, 27,False,False, |2|5, |2|7,True,False,"12 + 15 = 25. Wait, let me recompute. 12 + 15 =",26,6|25,7, ,25, =,5|6|7|8|9,11|12|13|14|15|16|17|18|19|20|21,22|23|24
gpt2,ops_8+7,8,7,15, 14, 15,False,False, |1|4, |1|5,True,False,"8 + 7 = 14. Wait, let me recompute. 8 + 7 =",22,4|21,5, ,21, =,3|4|5|6|7,9|10|11|12|13|14|15|16|17,18|19|20
gpt2,ops_11+12,11,12,23, 22, 23,False,False, |2|2, |2|3,True,False,"11 + 12 = 22. Wait, let me recompute. 11 + 12 =",26,6|25,7, ,25, =,5|6|7|8|9,11|12|13|14|15|16|17|18|19|20|21,22|23|24
gpt2,ops_9+6,9,6,15, 14, 15,False,False, |1|4, |1|5,True,False,"9 + 6 = 14. Wait, let me recompute. 9 + 6 =",22,4|21,5, ,21, =,3|4|5|6|7,9|10|11|12|13|14|15|16|17,18|19|20
gpt2,ops_13+14,13,14,27, 26, 27,False,False, |2|6, |2|7,True,False,"13 + 14 = 26. Wait, let me recompute. 13 + 14 =",26,6|25,7, ,25, =,5|6|7|8|9,11|12|13|14|15|16|17|18|19|20|21,22|23|24
gpt2,ops_4+5,4,5,9, 8, 9,False,False, |8, |9,True,False,"4 + 5 = 8. Wait, let me recompute. 4 + 5 =",21,4|20,5, ,20, =,3|4|5|6|7,8|9|10|11|12|13|14|15|16,17|18|19
gpt2,ops_16+10,16,10,26, 24, 26,False,False, |2|4, |2|6,True,False,"16 + 10 = 24. Wait, let me recompute. 16 + 10 =",26,6|25,7, ,25, =,5|6|7|8|9,11|12|13|14|15|16|17|18|19|20|21,22|23|24
gpt2,ops_3+8,3,8,11, 10, 11,False,False, |1|0, |1|1,True,False,"3 + 8 = 10. Wait, let me recompute. 3 + 8 =",22,4|21,5, ,21, =,3|4|5|6|7,9|10|11|12|13|14|15|16|17,18|19|20
qwen,ops_4+5,4,5,9,8,9,True,True,8,9,True,True,"4 + 5 =8. Wait, let me recompute. 4 + 5 =",20,4|19,5,8,19, =,3|4|5|6|7,7|8|9|10|11|12|13|14|15,16|17|18
qwen,ops_1+8,1,8,9,7,9,True,True,7,9,True,True,"1 + 8 =7. Wait, let me recompute. 1 + 8 =",20,4|19,5,7,19, =,3|4|5|6|7,7|8|9|10|11|12|13|14|15,16|17|18
qwen,ops_2+7,2,7,9,8,9,True,True,8,9,True,True,"2 + 7 =8. Wait, let me recompute. 2 + 7 =",20,4|19,5,8,19, =,3|4|5|6|7,7|8|9|10|11|12|13|14|15,16|17|18
qwen,ops_6+3,6,3,9,8,9,True,True,8,9,True,True,"6 + 3 =8. Wait, let me recompute. 6 + 3 =",20,4|19,5,8,19, =,3|4|5|6|7,7|8|9|10|11|12|13|14|15,16|17|18
qwen,ops_1+1,1,1,2,3,2,True,True,3,2,True,True,"1 + 1 =3. Wait, let me recompute. 1 + 1 =",20,4|19,5,3,19, =,3|4|5|6|7,7|8|9|10|11|12|13|14|15,16|17|18
qwen,ops_2+3,2,3,5,4,5,True,True,4,5,True,True,"2 + 3 =4. Wait, let me recompute. 2 + 3 =",20,4|19,5,4,19, =,3|4|5|6|7,7|8|9|10|11|12|13|14|15,16|17|18
qwen,ops_5+4,5,4,9,8,9,True,True,8,9,True,True,"5 + 4 =8. Wait, let me recompute. 5 + 4 =",20,4|19,5,8,19, =,3|4|5|6|7,7|8|9|10|11|12|13|14|15,16|17|18
qwen,ops_1+6,1,6,7,6,7,True,True,6,7,True,True,"1 + 6 =6. Wait, let me recompute. 1 + 6 =",20,4|19,5,6,19, =,3|4|5|6|7,7|8|9|10|11|12|13|14|15,16|17|18
