item,mode,gen_first_token,contrast_token,score_aligned,score_bank_WC,top1,top1_is_gen,top1_is_bank_W,top1_is_contrast,impulse_pos,t_star,contrast_runner_up
ops_12+15,forced_bank_W, 1, 27,0.256744384765625,4.194221496582031, 25,False,True,False,5,17, 2
ops_12+15,forced_gen, 1, 27,9.346346855163574,1.6189508438110352, 1,True,False,False,5,17, 2
ops_12+15,self_generated, 1, 27,9.346346855163574,1.6189508438110352, 1,True,False,False,5,17, 2
ops_8+7,forced_bank_W, 8, 15,-1.6445808410644531,2.4444122314453125, 14,False,True,False,5,17, 6
ops_8+7,forced_gen, 8, 15,6.1959075927734375,-0.39414310455322266, 8,True,False,False,5,17, 6
ops_8+7,self_generated, 8, 15,6.1959075927734375,-0.39414310455322266, 8,True,False,False,5,17, 6
ops_11+12,forced_bank_W, 1, 23,-2.855940818786621,1.8689661026000977, 22,False,True,False,5,17, 2
ops_11+12,forced_gen, 1, 23,8.034651756286621,0.9221725463867188, 1,True,False,False,5,17, 2
ops_11+12,self_generated, 1, 23,8.034651756286621,0.9221725463867188, 1,True,False,False,5,17, 2
ops_9+6,forced_bank_W, 1, 15,-2.1953744888305664,2.7684707641601562, 14,False,True,False,5,17, 6
ops_9+6,forced_gen, 1, 15,7.330771446228027,-0.22145366668701172, 1,True,False,False,5,17, 6
ops_9+6,self_generated, 1, 15,7.330771446228027,-0.22145366668701172, 1,True,False,False,5,17, 6
ops_13+14,forced_bank_W, 1, 27,-2.581846237182617,1.2628145217895508, 26,False,True,False,5,17, 13
ops_13+14,forced_gen, 1, 27,8.519577026367188,0.4205145835876465, 1,True,False,False,5,17, 13
ops_13+14,self_generated, 1, 27,8.519577026367188,0.4205145835876465, 1,True,False,False,5,17, 13
ops_4+5,forced_bank_W, 4, 9,-0.5491476058959961,2.1138954162597656, 8,False,True,False,5,17, 1
ops_4+5,forced_gen, 4, 9,5.238471031188965,1.1673517227172852, 4,True,False,False,5,17, 1
ops_4+5,self_generated, 4, 9,5.238471031188965,1.1673517227172852, 4,True,False,False,5,17, 1
ops_16+10,forced_bank_W, 0, 26,0.4907188415527344,4.489053726196289, 24,False,True,False,5,17, 1
ops_16+10,forced_gen, 0, 26,8.396839141845703,0.5335283279418945, 0,True,False,False,5,17, 1
ops_16+10,self_generated, 0, 26,8.396839141845703,0.5335283279418945, 0,True,False,False,5,17, 1
ops_3+8,forced_bank_W, 4, 11,-1.9841680526733398,2.5204219818115234, 10,False,True,False,5,17, 1
ops_3+8,forced_gen, 4, 11,6.606354713439941,0.5418539047241211, 4,True,False,False,5,17, 1
ops_3+8,self_generated, 4, 11,6.606354713439941,0.5418539047241211, 4,True,False,False,5,17, 1
